n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
20;50;0.2;0;0.343;1000;47.74;47.74;5.01;5.05
20;50;0.2;0.4;0.266;1000;47.74;47.74;5.04;5.1
20;50;0.5;0;0.474;1000;20.73;20.73;4.57;4.67
20;50;0.5;0.4;0.439;1000;20.73;20.73;4.6;4.77
20;100;0.2;0;0.438;1000;95.66;95.66;5.44;5.52
20;100;0.2;0.4;0.217;1000;95.66;95.66;5.47;5.57
20;100;0.5;0;0.543;1000;38.78;38.78;4.95;5.17
20;100;0.5;0.4;0.4;1000;38.78;38.78;5.01;5.39
20;150;0.2;0;0.46;1000;143.3;143.3;5.7;5.8
20;150;0.2;0.4;0.184;1000;143.3;143.3;5.73;5.89
20;150;0.5;0;0.484;1000;55.54;55.54;5.2;5.52
20;150;0.5;0.4;0.318;1000;55.54;55.54;5.28;5.85
20;200;0.2;0;0.486;1000;191.15;191.15;5.88;6.02
20;200;0.2;0.4;0.156;1000;191.15;191.15;5.94;6.16
20;200;0.5;0;0.367;1000;71.67;71.67;5.4;5.85
20;200;0.5;0.4;0.219;1000;71.67;71.67;5.53;6.44
40;50;0.2;0;0.852;1000;49.93;49.93;5.68;5.69
40;50;0.2;0.4;0.814;1000;49.93;49.93;5.72;5.73
40;50;0.5;0;0.917;1000;41.64;41.64;5.66;5.73
40;50;0.5;0.4;0.862;1000;41.64;41.64;5.72;5.85
40;100;0.2;0;0.867;1000;99.88;99.88;6.08;6.1
40;100;0.2;0.4;0.708;1000;99.88;99.88;6.12;6.15
40;100;0.5;0;0.93;1000;81.1;81.1;6.14;6.3
40;100;0.5;0.4;0.755;1000;81.1;81.1;6.24;6.57
40;150;0.2;0;0.818;1000;149.84;149.84;6.34;6.36
40;150;0.2;0.4;0.498;1000;149.84;149.84;6.37;6.41
40;150;0.5;0;0.881;1000;120.36;120.36;6.48;6.74
40;150;0.5;0.4;0.515;1000;120.36;120.36;6.67;7.33
40;200;0.2;0;0.796;1000;199.78;199.78;6.52;6.56
40;200;0.2;0.4;0.348;1000;199.78;199.78;6.56;6.6
40;200;0.5;0;0.796;1000;158.43;158.43;6.72;7.09
40;200;0.5;0.4;0.313;1000;158.43;158.43;7.11;8.22
