n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
20;50;0.2;0;0.845;1000;49.94;49.94;5;5.04
20;50;0.2;0.4;0.349;1000;49.94;49.94;5.01;5.07
20;50;0.5;0;0.487;1000;42.79;42.79;4.98;5.22
20;50;0.5;0.4;0.271;1000;42.79;42.79;5.03;5.45
20;50;0.8;0;0.059;996;5.38;5.38;3.74;3.8
20;50;0.8;0.4;0.056;996;5.38;5.38;3.75;3.87
20;100;0.2;0;0.991;1000;99.87;99.87;5.39;5.46
20;100;0.2;0.4;0.408;1000;99.87;99.87;5.4;5.48
20;100;0.5;0;0.781;1000;84.38;84.38;5.44;5.94
20;100;0.5;0.4;0.334;1000;84.38;84.38;5.5;6.6
20;100;0.8;0;0.084;1000;9.33;9.33;4.1;4.24
20;100;0.8;0.4;0.084;1000;9.33;9.33;4.11;4.37
20;150;0.2;0;1;1000;149.8;149.8;5.62;5.7
20;150;0.2;0.4;0.444;1000;149.8;149.8;5.63;5.74
20;150;0.5;0;0.846;1000;124.98;124.98;5.74;6.56
20;150;0.5;0.4;0.325;1000;124.98;124.98;5.84;7.95
20;150;0.8;0;0.102;1000;12.65;12.65;4.27;4.49
20;150;0.8;0.4;0.086;1000;12.65;12.65;4.28;4.62
20;200;0.2;0;1;1000;199.74;199.74;5.79;5.88
20;200;0.2;0.4;0.481;1000;199.74;199.74;5.8;5.93
20;200;0.5;0;0.86;1000;165.29;165.29;5.96;7.18
20;200;0.5;0.4;0.356;1000;165.29;165.29;6.15;9.46
20;200;0.8;0;0.127;1000;15.87;15.87;4.39;4.69
20;200;0.8;0.4;0.092;1000;15.87;15.87;4.4;4.85
40;50;0.2;0;0.998;1000;50;50;5.66;5.68
40;50;0.2;0.4;0.546;1000;50;50;5.68;5.71
40;50;0.5;0;0.941;1000;49.76;49.76;5.72;5.81
40;50;0.5;0.4;0.615;1000;49.76;49.76;5.78;5.91
40;50;0.8;0;0.146;1000;16.29;16.29;5.12;5.31
40;50;0.8;0.4;0.147;1000;16.29;16.29;5.15;5.52
40;100;0.2;0;1;1000;100;100;6.04;6.07
40;100;0.2;0.4;0.692;1000;100;100;6.06;6.09
40;100;0.5;0;1;1000;99.57;99.57;6.18;6.35
40;100;0.5;0.4;0.764;1000;99.57;99.57;6.25;6.49
40;100;0.8;0;0.247;1000;26.61;26.61;5.41;5.78
40;100;0.8;0.4;0.228;1000;26.61;26.61;5.46;6.28
40;150;0.2;0;1;1000;150;150;6.27;6.3
40;150;0.2;0.4;0.76;1000;150;150;6.28;6.33
40;150;0.5;0;1;1000;149.33;149.33;6.49;6.71
40;150;0.5;0.4;0.836;1000;149.33;149.33;6.55;6.9
40;150;0.8;0;0.355;1000;35.56;35.56;5.59;6.14
40;150;0.8;0.4;0.281;1000;35.56;35.56;5.66;6.86
40;200;0.2;0;1;1000;200;200;6.43;6.48
40;200;0.2;0.4;0.77;1000;200;200;6.45;6.5
40;200;0.5;0;1;1000;199.05;199.05;6.72;6.99
40;200;0.5;0.4;0.816;1000;199.05;199.05;6.8;7.39
40;200;0.8;0;0.436;1000;43.18;43.18;5.71;6.48
40;200;0.8;0.4;0.343;1000;43.18;43.18;5.81;7.36
