n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
10;50;0.2;0;0.263;1000;47.7;47.7;4.44;4.52
10;50;0.2;0.4;0.164;1000;47.7;47.7;4.51;4.63
10;50;0.5;0;0.55;1000;20.72;20.72;4;4.12
10;50;0.5;0.4;0.491;1000;20.72;20.72;4.08;4.23
10;100;0.2;0;0.132;1000;94.62;94.62;4.96;5.12
10;100;0.2;0.4;0.1;1000;94.62;94.62;5.22;5.53
10;100;0.5;0;0.302;1000;38.71;38.71;4.62;4.89
10;100;0.5;0.4;0.328;1000;38.71;38.71;4.8;5.17
10;150;0.2;0;0.078;1000;141.32;141.32;5.37;5.65
10;150;0.2;0.4;0.07;1000;141.32;141.32;5.92;6.48
10;150;0.5;0;0.071;1000;56.55;56.55;5.28;5.76
10;150;0.5;0.4;0.141;1000;56.55;56.55;5.49;6.1
10;200;0.2;0;0.029;1000;187.8;187.8;5.79;6.21
10;200;0.2;0.4;0.052;1000;187.8;187.8;6.85;7.66
10;200;0.5;0;0.002;1000;74.18;74.18;6.12;6.69
10;200;0.5;0.4;0.039;1000;74.18;74.18;6.43;7.3
20;50;0.2;0;0.855;1000;49.94;49.94;5.06;5.07
20;50;0.2;0.4;0.727;1000;49.94;49.94;5.1;5.11
20;50;0.5;0;0.828;1000;35.58;35.58;5.07;5.14
20;50;0.5;0.4;0.688;1000;35.58;35.58;5.23;5.34
20;100;0.2;0;0.66;1000;99.89;99.89;5.51;5.53
20;100;0.2;0.4;0.329;1000;99.89;99.89;5.55;5.58
20;100;0.5;0;0.551;1000;66.92;66.92;5.69;5.84
20;100;0.5;0.4;0.353;1000;66.92;66.92;6.09;6.39
20;150;0.2;0;0.476;1000;149.82;149.82;5.78;5.81
20;150;0.2;0.4;0.146;1000;149.82;149.82;5.84;5.89
20;150;0.5;0;0.264;1000;96.03;96.03;6.23;6.51
20;150;0.5;0.4;0.163;1000;96.03;96.03;7.04;7.55
20;200;0.2;0;0.419;1000;199.77;199.77;5.97;6.01
20;200;0.2;0.4;0.099;1000;199.77;199.77;6.1;6.17
20;200;0.5;0;0.15;1000;124.39;124.39;6.84;7.21
20;200;0.5;0.4;0.108;1000;124.39;124.39;7.95;8.61
