n;p;pmiss;rho;rejPERM;n_simEnded
10;50;0.2;0;0.851;1000
10;50;0.2;0.4;0.402;1000
10;50;0.5;0;0.205;1000
10;50;0.5;0.4;0.203;1000
10;50;0.8;0;0.758;1000
10;50;0.8;0.4;0.758;1000
10;100;0.2;0;0.989;1000
10;100;0.2;0.4;0.481;1000
10;100;0.5;0;0.268;1000
10;100;0.5;0.4;0.248;1000
10;100;0.8;0;0.534;1000
10;100;0.8;0.4;0.537;1000
10;150;0.2;0;0.998;1000
10;150;0.2;0.4;0.494;1000
10;150;0.5;0;0.314;1000
10;150;0.5;0.4;0.295;1000
10;150;0.8;0;0.392;1000
10;150;0.8;0.4;0.392;1000
10;200;0.2;0;1;1000
10;200;0.2;0.4;0.509;1000
10;200;0.5;0;0.326;1000
10;200;0.5;0.4;0.268;1000
10;200;0.8;0;0.249;1000
10;200;0.8;0.4;0.258;1000
20;50;0.2;0;0.594;1000
20;50;0.2;0.4;0.382;1000
20;50;0.5;0;0.323;1000
20;50;0.5;0.4;0.326;1000
20;50;0.8;0;1;1000
20;50;0.8;0.4;1;1000
20;100;0.2;0;0.824;1000
20;100;0.2;0.4;0.549;1000
20;100;0.5;0;0.108;1000
20;100;0.5;0.4;0.114;1000
20;100;0.8;0;1;1000
20;100;0.8;0.4;1;1000
20;150;0.2;0;0.935;1000
20;150;0.2;0.4;0.644;1000
20;150;0.5;0;0.104;1000
20;150;0.5;0.4;0.109;1000
20;150;0.8;0;1;1000
20;150;0.8;0.4;1;1000
20;200;0.2;0;0.967;1000
20;200;0.2;0.4;0.702;1000
20;200;0.5;0;0.133;1000
20;200;0.5;0.4;0.131;1000
20;200;0.8;0;1;1000
20;200;0.8;0.4;1;1000
