n;p;pmiss;rho;rejPERM;n_simEnded
10;50;0.2;0;0.304;1000
10;50;0.2;0.4;0.235;1000
10;50;0.5;0;0.273;1000
10;50;0.5;0.4;0.258;1000
10;100;0.2;0;0.539;1000
10;100;0.2;0.4;0.282;1000
10;100;0.5;0;0.341;1000
10;100;0.5;0.4;0.333;1000
10;150;0.2;0;0.659;1000
10;150;0.2;0.4;0.331;1000
10;150;0.5;0;0.375;1000
10;150;0.5;0.4;0.373;1000
10;200;0.2;0;0.777;1000
10;200;0.2;0.4;0.373;1000
10;200;0.5;0;0.438;1000
10;200;0.5;0.4;0.406;1000
20;50;0.2;0;0.49;1000
20;50;0.2;0.4;0.45;1000
20;50;0.5;0;1;1000
20;50;0.5;0.4;1;1000
20;100;0.2;0;0.714;1000
20;100;0.2;0.4;0.648;1000
20;100;0.5;0;0.995;1000
20;100;0.5;0.4;0.995;1000
20;150;0.2;0;0.842;1000
20;150;0.2;0.4;0.746;1000
20;150;0.5;0;0.991;1000
20;150;0.5;0.4;0.99;947
20;200;0.2;0;0.917;989
20;200;0.2;0.4;0.807;1000
20;200;0.5;0;0.988;1000
20;200;0.5;0.4;0.987;1000
