n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
10;50;0.2;0;0.985;1000;49.93;49.93;4.37;4.49
10;50;0.2;0.4;0.505;1000;49.93;49.93;4.39;4.58
10;50;0.5;0;0.755;1000;37.22;37.22;4.36;5
10;50;0.5;0.4;0.42;1000;37.22;37.22;4.46;5.61
10;50;0.8;0;0.134;1000;7.99;7.99;3.35;3.51
10;50;0.8;0.4;0.122;1000;7.99;7.99;3.36;3.59
10;100;0.2;0;0.994;1000;99.82;99.82;4.78;4.98
10;100;0.2;0.4;0.55;1000;99.82;99.82;4.83;5.25
10;100;0.5;0;0.82;1000;69.5;69.5;4.96;6.66
10;100;0.5;0.4;0.469;1000;69.5;69.5;5.22;7.91
10;100;0.8;0;0.186;1000;13.61;13.61;3.66;4.01
10;100;0.8;0.4;0.161;1000;13.61;13.61;3.67;4.1
10;150;0.2;0;0.99;1000;149.66;149.66;5.03;5.31
10;150;0.2;0.4;0.529;1000;149.66;149.66;5.12;6.02
10;150;0.5;0;0.714;1000;100.75;100.75;5.49;8.08
10;150;0.5;0.4;0.451;1000;100.75;100.75;6.07;10.05
10;150;0.8;0;0.237;1000;19.09;19.09;3.87;4.5
10;150;0.8;0.4;0.169;1000;19.09;19.09;3.9;4.65
10;200;0.2;0;0.984;1000;199.5;199.5;5.21;5.64
10;200;0.2;0.4;0.531;1000;199.5;199.5;5.46;7.06
10;200;0.5;0;0.725;1000;130.81;130.81;6.1;9.57
10;200;0.5;0.4;0.443;1000;130.81;130.81;7.09;12.42
10;200;0.8;0;0.219;1000;24.26;24.26;4.02;4.92
10;200;0.8;0.4;0.172;1000;24.26;24.26;4.06;5.13
20;50;0.2;0;1;1000;50;50;5.01;5.06
20;50;0.2;0.4;0.736;1000;50;50;5.03;5.09
20;50;0.5;0;0.988;1000;47.9;47.9;5.16;5.48
20;50;0.5;0.4;0.77;1000;47.9;47.9;5.26;5.89
20;50;0.8;0;0.243;1000;13.38;13.38;4.38;4.64
20;50;0.8;0.4;0.25;1000;13.38;13.38;4.42;4.86
20;100;0.2;0;1;1000;100;100;5.41;5.49
20;100;0.2;0.4;0.837;1000;100;100;5.43;5.52
20;100;0.5;0;0.959;1000;93.54;93.54;5.75;6.53
20;100;0.5;0.4;0.767;1000;93.54;93.54;5.98;7.82
20;100;0.8;0;0.406;1000;21.47;21.47;4.7;5.3
20;100;0.8;0.4;0.359;1000;21.47;21.47;4.78;5.61
20;150;0.2;0;1;1000;150;150;5.65;5.74
20;150;0.2;0.4;0.876;1000;150;150;5.67;5.78
20;150;0.5;0;0.939;1000;137.87;137.87;6.13;7.55
20;150;0.5;0.4;0.769;1000;137.87;137.87;6.74;9.8
20;150;0.8;0;0.548;1000;27.68;27.68;4.92;5.76
20;150;0.8;0.4;0.45;1000;27.68;27.68;5.03;6.17
20;200;0.2;0;1;1000;200;200;5.82;5.92
20;200;0.2;0.4;0.891;1000;200;200;5.84;5.99
20;200;0.5;0;0.916;1000;181.67;181.67;6.5;8.69
20;200;0.5;0.4;0.794;1000;181.67;181.67;7.63;11.83
20;200;0.8;0;0.634;1000;33.91;33.91;5.12;6.28
20;200;0.8;0.4;0.514;1000;33.91;33.91;5.23;6.72
